Term
cognitive
control
performance
task
executive
function
functions
cognition
ability
attention
behavioral
tasks
functioning
test
goal
effort
individuals
behavior
demands
recruitment
abilities
lateral
performed
attentional
neuropsychological
directed
domains
tests
level
individual
relevant
behavioural
evidence
speed
performing
impairment
stroop
deficits
impaired
domain
