Term
events
memory
autobiographical
memories
retrieval
episodic
future
personal
past
semantic
event
thinking
construction
experiences
remote
life
knowledge
recent
recall
mental
engaged
counterfactual
experience
recollection
elaboration
imagining
ams
details
search
remembering
cues
scenes
participants
experienced
lateral
scene
imagined
simulation
imagery
process
