Term
ms
patients
global
multiple
sclerosis
local
cr
fitness
clinical
areas
cp
contour
activations
lesion
mp
adaptive
obtained
relapsing
atrophy
disability
extent
remitting
test
pasat
recruitment
damage
soa
lower
tissue
ppms
measures
enrichment
reorganization
preserved
cis
limit
occurs
crt
ci
load
