Term
feedback
error
errors
learning
prediction
monitoring
correct
negative
performance
response
outcome
reinforcement
positive
trials
processing
outcomes
task
trial
reversal
behavior
stimulus
expected
signal
detection
signals
events
expectations
incorrect
expectation
predictive
contingencies
correlated
event
reward
contingency
adaptation
probability
adjustment
actual
unexpected
