Term
reward
anticipation
monetary
processing
rewards
motivation
incentive
responses
motivational
task
loss
punishment
aversive
rewarding
outcomes
gain
system
sensitivity
dopaminergic
pg
mesolimbic
response
positive
cues
money
anticipatory
delay
gains
behavior
avoidance
outcome
circuitry
appetitive
losses
participants
magnitude
salience
gambling
anticipated
receipt
