Term
force
motor
muscle
fatigue
grip
emg
control
voluntary
tongue
nf
primary
bladder
balance
contraction
central
sensorimotor
isometric
involuntary
muscles
precision
dynamic
forces
pelvic
subjects
floor
micturition
kinesthetic
production
rtfmri
static
crossed
contractions
postural
cb
urge
mechanisms
frda
ankle
teeth
cfs
