Term
familiar
recognition
false
familiarity
items
unfamiliar
item
true
correct
famous
stm
vstm
information
confidence
names
recollection
prc
compared
activated
recency
person
people
belief
contrast
order
personally
heuristic
term
hits
relational
associations
knowledge
types
rejection
fs
finding
experiment
learned
representation
judgements
