Term
wm
imagery
mental
imagined
rotation
mi
tasks
visual
visuospatial
motor
areas
spatial
ltm
imagination
imagine
transformation
image
imagining
mentally
images
activated
ability
angle
degrees
physical
strategy
manipulation
visuo
poor
actual
rotations
simulation
kinesthetic
gifted
representational
clock
angles
rehearsal
future
instructed
