Term
sentences
language
comprehension
sentence
processing
syntactic
semantic
linguistic
meaning
word
literal
narrative
ambiguous
metaphors
content
meanings
structure
syntax
discourse
ambiguity
spoken
story
violations
reading
event
participants
context
metaphor
text
speaker
coherence
integration
speech
order
words
complexity
types
relative
pragmatic
metaphoric
