Term
sequences
timing
bimanual
sequence
coordination
motor
rhythm
tapping
sequential
beat
rhythmic
structure
synchrony
movements
versa
vice
phase
paced
pattern
rhythms
unimanual
lateral
musical
order
sequencing
synchronization
pacing
parallel
pianists
symmetry
predictability
interval
random
generation
context
internally
ordinal
finger
intervals
musicians
