Term
motor
movement
movements
sensorimotor
primary
finger
areas
control
activation
sensory
execution
somatosensory
functional
planning
tapping
system
ipsilateral
tasks
pre
visuomotor
cortices
simple
healthy
performed
visually
action
handed
effector
dominant
representation
writing
upper
arm
feedback
patterns
voluntary
paced
sequential
circuits
guided
