Term
body
bodies
images
image
nervosa
participants
women
anorexia
agency
bn
bodily
arms
ownership
fes
illusion
visual
hands
perception
arm
lotc
eating
reduced
illusory
somatic
bulimia
posture
recovered
appearance
representation
female
shape
satisfaction
rubber
distorted
size
dl
limbs
disorders
schema
sense
