Term
spatial
space
location
virtual
navigation
representations
locations
position
representation
orientation
reference
route
egocentric
object
participants
perspective
environment
information
allocentric
frame
relative
coding
body
map
centered
visuo
objects
neglect
coordinate
positions
judgments
goal
visual
relations
line
visuospatial
frames
distance
reality
coordinates
