Term
verbs
verb
nouns
processing
noun
grammatical
language
generation
production
thematic
regular
lexical
morphological
argument
structure
word
words
linguistic
irregular
class
compared
pl
system
complexity
forms
subject
representation
inflected
imageability
processed
properties
complements
morphology
experiment
languages
types
object
number
event
phrases
