Term
fear
threat
conditioning
responses
anxiety
cs
extinction
conditioned
stimulus
learning
response
aversive
skin
conductance
acquisition
autonomic
subjects
increased
shock
threatening
scr
arousal
anxious
avoidance
participants
paradigm
disorders
unconditioned
startle
paired
cues
reactivity
humans
anticipatory
responding
differential
trace
trait
classical
contingency
