Term
conflict
interference
control
stroop
incongruent
task
response
congruent
olfactory
resolution
trials
odor
behavioral
attentional
color
cognitive
odors
simon
congruency
word
flanker
effect
monitoring
irrelevant
processing
activated
conflicting
incompatible
neutral
relevant
mechanisms
detection
conflicts
situations
resolve
adjustments
pre
compatibility
compatible
counting
