Term
action
actions
observation
mirror
motor
gestures
goal
imitation
tool
system
video
execution
areas
movements
directed
neuron
clips
observing
person
simulation
performed
participants
gesture
human
understanding
actor
body
mns
videos
activated
representations
goals
perception
intention
representation
tools
communicative
planning
aon
perspective
