Term
sleep
number
numerical
numbers
arithmetic
sd
magnitude
calculation
deprivation
digit
symbolic
mathematical
mental
distance
math
solving
rem
representation
multiplication
addition
wakefulness
comparison
retrieval
subtraction
numerosity
operations
night
counting
quantity
estimation
size
operation
single
digits
nonsymbolic
arabic
consolidation
symbols
solved
types
