Term
faces
face
facial
expressions
processing
emotional
neutral
fearful
emotion
happy
recognition
perception
expression
social
angry
response
responses
emotions
identity
fear
fg
sad
anger
affect
affective
viewing
signals
masked
matching
disgust
cues
viewed
behavioral
role
gender
threat
sensitivity
compared
people
trustworthiness
