Term
smokers
users
smoking
drug
nicotine
cocaine
cannabis
craving
cues
controls
abstinence
dependence
cue
addiction
dependent
heroin
marijuana
induced
exposure
cigarette
control
abstinent
compared
heavy
mj
chronic
ecstasy
abusers
addicts
abuse
mdma
nonsmokers
withdrawal
conclusions
altered
impulsivity
increased
reactivity
individuals
treatment
