Term
social
empathy
participants
person
mentalizing
mental
people
mind
cognition
theory
perspective
interaction
game
behavior
interactions
junction
individual
attribution
human
empathic
interpersonal
situations
attachment
emotional
intentions
taking
beliefs
understanding
affective
partner
exclusion
situation
activated
individuals
ability
personal
socially
physical
intentional
cooperation
