Term
adhd
asd
autism
children
disorder
controls
spectrum
disorders
individuals
deficits
deficit
attention
reduced
adults
typically
td
developing
abnormalities
matched
control
hyperactivity
functioning
social
participants
atypical
age
autistic
impairments
adolescents
syndrome
iq
dysfunction
boys
relative
decreased
adult
abnormal
cd
development
clinical
