Term
depression
mdd
patients
disorder
bipolar
depressive
depressed
major
healthy
mood
bd
anxiety
sad
controls
conclusions
symptoms
subjects
disorders
control
severity
compared
increased
emotional
antidepressant
matched
abnormalities
illness
clinical
rumination
affective
hc
trait
emotion
dysfunction
medication
subgenual
individuals
limitations
relative
anhedonia
