Term
decision
choice
decisions
risk
choices
uncertainty
outcome
risky
outcomes
behavioral
reward
behavior
preferences
loss
probability
subjective
options
bias
participants
rewards
values
taking
losses
valuation
economic
preference
option
gains
individual
correlated
choose
subjects
magnitude
potential
distinct
ambiguity
reflected
human
regret
uncertain
