Term
emotional
negative
emotion
neutral
processing
regulation
affective
positive
pictures
valence
emotions
arousal
participants
affect
responses
reappraisal
cognitive
images
emotionally
increased
unpleasant
ratings
aversive
picture
viewing
pleasant
disgust
mood
enhanced
experience
reactivity
lateral
influence
intensity
content
viewed
scenes
investigated
regulate
correlated
