Term
object
objects
visual
shape
color
recognition
stream
shapes
areas
perception
activated
location
lateral
grasping
haptic
processing
texture
form
selective
colour
properties
features
manipulation
orientation
grasp
participants
identification
visually
perceptual
reaching
viewing
naming
discrimination
size
matching
tools
knowledge
intact
pathway
real
