"AreaLabel"	"data-version"	"PM-filename"
"Area-hIP1"	6.1	"Area-hIP1_l_N10_nlin2Stdcolin27_6.1_publicP828db42625a675c3a954c6be2e2b3b88.nii.gz"
"Area-hIP1"	6.1	"Area-hIP1_r_N10_nlin2Stdcolin27_6.1_publicP667c85bcddc6c019b2bdd45fc499737a.nii.gz"
"Area-hIP2"	6.1	"Area-hIP2_l_N10_nlin2Stdcolin27_6.1_publicP1c0b051794d33c3042124e8ff29838a0.nii.gz"
"Area-hIP2"	6.1	"Area-hIP2_r_N10_nlin2Stdcolin27_6.1_publicPddcac02713410823e3545a59be530553.nii.gz"
"Area-hIP3"	8.4	"Area-hIP3_l_N10_nlin2Stdcolin27_8.4_publicP5894ab3681e1b909971d902f17707d8a.nii.gz"
"Area-hIP3"	8.4	"Area-hIP3_r_N10_nlin2Stdcolin27_8.4_publicPc74eb8ebcf63468f544e4086d2b21348.nii.gz"
"CM"	6.4	"CM_l_N10_nlin2Stdcolin27_6.4_publicP8d55f13bab6c2faa29a1d3754369254a.nii.gz"
"CM"	6.4	"CM_r_N10_nlin2Stdcolin27_6.4_publicP77b53c30c9eeccd49eacfeabf1b1749b.nii.gz"
"IF"	6.4	"IF_l_N10_nlin2Stdcolin27_6.4_publicP84f75af1298ba054b19f5c5b437cd279.nii.gz"
"IF"	6.4	"IF_r_N10_nlin2Stdcolin27_6.4_publicP547c4687931539b4eab1883219f1eeed.nii.gz"
"LB"	6.4	"LB_l_N10_nlin2Stdcolin27_6.4_publicPc0f3b866f2fbd0e69e19594e2b49bc87.nii.gz"
"LB"	6.4	"LB_r_N10_nlin2Stdcolin27_6.4_publicPd5f2f1207c0d4990e06267f0c8262d53.nii.gz"
"MF"	6.4	"MF_l_N10_nlin2Stdcolin27_6.4_publicP68bfc4e1ca51ebd1e8f37cd28b43a2c1.nii.gz"
"MF"	6.4	"MF_r_N10_nlin2Stdcolin27_6.4_publicP39ae43f234d7908175c30bda61f59d55.nii.gz"
"SF"	6.4	"SF_l_N10_nlin2Stdcolin27_6.4_publicPa9119350394bdd2f70dfebe720f5128b.nii.gz"
"SF"	6.4	"SF_r_N10_nlin2Stdcolin27_6.4_publicPabd7559e74f7167161273c1c394027d4.nii.gz"
"VTM"	6.4	"VTM_l_N10_nlin2Stdcolin27_6.4_publicPe9cc71b8b7cadcb07a9fb45099934d06.nii.gz"
"VTM"	6.4	"VTM_r_N10_nlin2Stdcolin27_6.4_publicPdbfa70d00d5a54048d9ca8d94aadd1c2.nii.gz"
"Area-STS1"	3.1	"Area-STS1_l_N10_nlin2Stdcolin27_3.1_publicDOI08e75c6446f93d9bc7c39fa4a2a715da.nii.gz"
"Area-STS1"	3.1	"Area-STS1_r_N10_nlin2Stdcolin27_3.1_publicDOI63fc6556f6555e1eb5cf57200a7a6677.nii.gz"
"Area-STS2"	3.1	"Area-STS2_l_N10_nlin2Stdcolin27_3.1_publicDOI4bab85dc8ab1547e1dcf842a06ed1efa.nii.gz"
"Area-STS2"	3.1	"Area-STS2_r_N10_nlin2Stdcolin27_3.1_publicDOIcd667b25d5535ff74ce57baecd64a272.nii.gz"
"Area-TE-1.0"	5.1	"Area-TE-1.0_l_N10_nlin2Stdcolin27_5.1_publicPbe05cf2a0b23ccd1cdf2271345cbe45d.nii.gz"
"Area-TE-1.0"	5.1	"Area-TE-1.0_r_N10_nlin2Stdcolin27_5.1_publicP12e3532cc654e44a531eadb30caf0051.nii.gz"
"Area-TE-1.1"	5.1	"Area-TE-1.1_l_N10_nlin2Stdcolin27_5.1_publicP7bb30fe3a0a0cf415780103440b15dbe.nii.gz"
"Area-TE-1.1"	5.1	"Area-TE-1.1_r_N10_nlin2Stdcolin27_5.1_publicP6eb19b3b79d6ff1f27500016ed215dc1.nii.gz"
"Area-TE-1.2"	5.1	"Area-TE-1.2_l_N10_nlin2Stdcolin27_5.1_publicPae0c6a3a2c11d13f70e25df33dde9f86.nii.gz"
"Area-TE-1.2"	5.1	"Area-TE-1.2_r_N10_nlin2Stdcolin27_5.1_publicP1e94be7f543a6aa668fb776361b6e58a.nii.gz"
"Area-TE-3"	5.1	"Area-TE-3_l_N10_nlin2Stdcolin27_5.1_publicPee94f5c173aaf6496d93f5ebc621a740.nii.gz"
"Area-TE-3"	5.1	"Area-TE-3_r_N10_nlin2Stdcolin27_5.1_publicP83d1cf7a0c3717f030a7c8920887bc00.nii.gz"
"Ch-123"	4.2	"Ch-123_l_N10_nlin2Stdcolin27_4.2_publicP276e61aa375a96aa30727b96fdbcb359.nii.gz"
"Ch-123"	4.2	"Ch-123_r_N10_nlin2Stdcolin27_4.2_publicP08a22f59a0ef477bcd6839aa94654d41.nii.gz"
"Ch-4"	4.2	"Ch-4_l_N10_nlin2Stdcolin27_4.2_publicPb92bf6270f6426059d719a6ff4d46aa7.nii.gz"
"Ch-4"	4.2	"Ch-4_r_N10_nlin2Stdcolin27_4.2_publicPa38a48076577c2c94ed7aad80c625952.nii.gz"
"Area-44"	7.4	"Area-44_l_N10_nlin2Stdcolin27_7.4_publicPe59cf54b21c0c5b6bc9f28238caca480.nii.gz"
"Area-44"	7.4	"Area-44_r_N10_nlin2Stdcolin27_7.4_publicPa654ac4a5ffb29e71ea8ba6607d8d636.nii.gz"
"Area-45"	7.4	"Area-45_l_N10_nlin2Stdcolin27_7.4_publicP08da4129fea7c04d5608bded93dfda10.nii.gz"
"Area-45"	7.4	"Area-45_r_N10_nlin2Stdcolin27_7.4_publicPb9da1fa5cada59f4d42bac9f59e8eafe.nii.gz"
"Dorsal-Dentate-Nucleus"	6.2	"Dorsal-Dentate-Nucleus_l_N10_nlin2Stdcolin27_6.2_publicPe4005dbb191bf6e7d186a59d7054f585.nii.gz"
"Dorsal-Dentate-Nucleus"	6.2	"Dorsal-Dentate-Nucleus_r_N10_nlin2Stdcolin27_6.2_publicP1f16cdf30a2b987c7f6dd013b08b73ad.nii.gz"
"Ventral-Dentate-Nucleus"	6.2	"Ventral-Dentate-Nucleus_l_N10_nlin2Stdcolin27_6.2_publicP66c0eabf5055063dc9c4e26745bc39d0.nii.gz"
"Ventral-Dentate-Nucleus"	6.2	"Ventral-Dentate-Nucleus_r_N10_nlin2Stdcolin27_6.2_publicP0a940b0c0455d9073942ab515304ead9.nii.gz"
"Fastigial-Nucleus"	6.2	"Fastigial-Nucleus_l_N10_nlin2Stdcolin27_6.2_publicPc18475ec9af75fe8a1f5dce004278e55.nii.gz"
"Fastigial-Nucleus"	6.2	"Fastigial-Nucleus_r_N10_nlin2Stdcolin27_6.2_publicP6745e48df4cef0ef4cd9c1e9f9d114b3.nii.gz"
"Interposed-Nucleus"	6.2	"Interposed-Nucleus_l_N10_nlin2Stdcolin27_6.2_publicP2f9237309b1e61c190196401e9a11c7f.nii.gz"
"Interposed-Nucleus"	6.2	"Interposed-Nucleus_r_N10_nlin2Stdcolin27_6.2_publicP58293b82b27045ef76bc1a0ef3428afc.nii.gz"
"Area-25"	16.1	"Area-25_l_N10_nlin2Stdcolin27_16.1_publicP84abfca40abffa2dffd2e7743f8a6ab3.nii.gz"
"Area-25"	16.1	"Area-25_r_N10_nlin2Stdcolin27_16.1_publicP976b0f40ea5674a178c1c4560b4d56e7.nii.gz"
"Area-33"	16.1	"Area-33_l_N10_nlin2Stdcolin27_16.1_publicP9effbeac2461fdf77b2d49619f168d75.nii.gz"
"Area-33"	16.1	"Area-33_r_N10_nlin2Stdcolin27_16.1_publicP94750db9a4bede8ee6b6970d7ccd8f17.nii.gz"
"Area-p24ab"	16.1	"Area-p24ab_l_N10_nlin2Stdcolin27_16.1_publicP444aa7585813722d798a82dbe79e1c9a.nii.gz"
"Area-p24ab"	16.1	"Area-p24ab_r_N10_nlin2Stdcolin27_16.1_publicP6c52469cebca3f350d92d20020c62e87.nii.gz"
"Area-p24c"	16.1	"Area-p24c_l_N10_nlin2Stdcolin27_16.1_publicP9c9d82fb9bfe36b1bce38672bdb4740a.nii.gz"
"Area-p24c"	16.1	"Area-p24c_r_N10_nlin2Stdcolin27_16.1_publicPbeb8c3fb63fe05540e87a2007acc40af.nii.gz"
"Area-p32"	16.1	"Area-p32_l_N10_nlin2Stdcolin27_16.1_publicP0f60df84cc5f99ea1dd97d1b025707a6.nii.gz"
"Area-p32"	16.1	"Area-p32_r_N10_nlin2Stdcolin27_16.1_publicP84d50c4187b65ff997e92bd334553f98.nii.gz"
"Area-s24"	16.1	"Area-s24_l_N10_nlin2Stdcolin27_16.1_publicP4c14280cc9c6d43bb5b7c25981828311.nii.gz"
"Area-s24"	16.1	"Area-s24_r_N10_nlin2Stdcolin27_16.1_publicPae32c2acd10da0c3cba50800ced302e6.nii.gz"
"Area-s32"	16.1	"Area-s32_l_N10_nlin2Stdcolin27_16.1_publicPcfdb1e6e4d0f7f0636e30669917bd3b8.nii.gz"
"Area-s32"	16.1	"Area-s32_r_N10_nlin2Stdcolin27_16.1_publicPaf05582934888efe929b28dda1b672ec.nii.gz"
"Area-Fp1"	2.4	"Area-Fp1_l_N10_nlin2Stdcolin27_2.4_publicP649d51f8daede7444548e13722b688ef.nii.gz"
"Area-Fp1"	2.4	"Area-Fp1_r_N10_nlin2Stdcolin27_2.4_publicPaaf0923c7315332fd3c14bbe15360aca.nii.gz"
"Area-Fp2"	2.4	"Area-Fp2_l_N10_nlin2Stdcolin27_2.4_publicP15ceb771b7ce41cf5db287ca4d09ef13.nii.gz"
"Area-Fp2"	2.4	"Area-Fp2_r_N10_nlin2Stdcolin27_2.4_publicP8590239cbabdbb022a92cf2d783b5525.nii.gz"
"CA"	11.1	"CA_l_N10_nlin2Stdcolin27_11.1_publicP171cb45e2e19686d663f24ede52ef4d5.nii.gz"
"CA"	11.1	"CA_r_N10_nlin2Stdcolin27_11.1_publicP0852971ef836a0f321ed9f16ef1a26db.nii.gz"
"DG"	11.1	"DG_l_N10_nlin2Stdcolin27_11.1_publicP4d4162b28b535e77fe7ef3d85ee658cb.nii.gz"
"DG"	11.1	"DG_r_N10_nlin2Stdcolin27_11.1_publicPe3fa939acecddade8c39c1c55a421c28.nii.gz"
"Entorhinal-Cortex"	11.1	"Entorhinal-Cortex_l_N10_nlin2Stdcolin27_11.1_publicPdc4cead53434d7d9cc2545815a575a37.nii.gz"
"Entorhinal-Cortex"	11.1	"Entorhinal-Cortex_r_N10_nlin2Stdcolin27_11.1_publicP63cabbcc6e81767942bee38595ebb234.nii.gz"
"HATA"	11.1	"HATA_l_N10_nlin2Stdcolin27_11.1_publicP69c99510ed9618dcf2dec7f75c7097e5.nii.gz"
"HATA"	11.1	"HATA_r_N10_nlin2Stdcolin27_11.1_publicPe32109435541023150892d6244db83a8.nii.gz"
"Subiculum"	11.1	"Subiculum_l_N10_nlin2Stdcolin27_11.1_publicPb049e4690de44f9cf0e0091f2f1ae328.nii.gz"
"Subiculum"	11.1	"Subiculum_r_N10_nlin2Stdcolin27_11.1_publicP386adc58f1ebd7a13ef6eb64978fef65.nii.gz"
"Area-PF"	9.4	"Area-PF_l_N10_nlin2Stdcolin27_9.4_publicP74d941df6a0b70295896125e27f1072b.nii.gz"
"Area-PF"	9.4	"Area-PF_r_N10_nlin2Stdcolin27_9.4_publicPd715b06e48a51a04939d084ce5a3d7c1.nii.gz"
"Area-PFcm"	9.4	"Area-PFcm_l_N10_nlin2Stdcolin27_9.4_publicPde6698f167f750bb781dc1d94ac9c428.nii.gz"
"Area-PFcm"	9.4	"Area-PFcm_r_N10_nlin2Stdcolin27_9.4_publicPda886451f173415a44331d3eb80a2386.nii.gz"
"Area-PFm"	9.4	"Area-PFm_l_N10_nlin2Stdcolin27_9.4_publicPe1feae26309f20f208adf341fe5db53f.nii.gz"
