"AreaLabel"	"data-version"	"PM-filename"
"Ventral-Dentate-Nucleus"	6.2	"Ventral-Dentate-Nucleus_l_N10_nlin2MNI152ASYM2009C_6.2_publicP_0cb86cca6476c331a50318f46208a2a9.nii.gz"
"Ventral-Dentate-Nucleus"	6.2	"Ventral-Dentate-Nucleus_r_N10_nlin2MNI152ASYM2009C_6.2_publicP_fc8be37b4b948d2aa1a7e94d00e3310e.nii.gz"
"Fastigial-Nucleus"	6.2	"Fastigial-Nucleus_l_N10_nlin2MNI152ASYM2009C_6.2_publicP_d42e05acf865e8478e5fe97385a78d00.nii.gz"
"Fastigial-Nucleus"	6.2	"Fastigial-Nucleus_r_N10_nlin2MNI152ASYM2009C_6.2_publicP_6d0b43f4d2b4981735164ac4d52a4d6d.nii.gz"
"Interposed-Nucleus"	6.2	"Interposed-Nucleus_l_N10_nlin2MNI152ASYM2009C_6.2_publicP_be17425dcfd546aaf5ec80e315d642d9.nii.gz"
"Interposed-Nucleus"	6.2	"Interposed-Nucleus_r_N10_nlin2MNI152ASYM2009C_6.2_publicP_793abbe42c2a952e6e728f8250f1f54c.nii.gz"
"Area-25"	16.1	"Area-25_l_N10_nlin2MNI152ASYM2009C_16.1_publicP_bc3b69f445a7d6db586b15476c88b2de.nii.gz"
"Area-25"	16.1	"Area-25_r_N10_nlin2MNI152ASYM2009C_16.1_publicP_6e2e70f1c2693df95f1f8c65d9ab6cef.nii.gz"
"Area-33"	16.1	"Area-33_l_N10_nlin2MNI152ASYM2009C_16.1_publicP_9832e9c4ee8ed764f11c12e68e84f790.nii.gz"
"Area-33"	16.1	"Area-33_r_N10_nlin2MNI152ASYM2009C_16.1_publicP_0a2943971f268fce0cc9e5f59e6fe55c.nii.gz"
"Area-p24ab"	16.1	"Area-p24ab_l_N10_nlin2MNI152ASYM2009C_16.1_publicP_b004997e409abb7655a9f4a52d352e6c.nii.gz"
"Area-p24ab"	16.1	"Area-p24ab_r_N10_nlin2MNI152ASYM2009C_16.1_publicP_d5ca48b6f8408bcc485e957c01499681.nii.gz"
"Area-p24c"	16.1	"Area-p24c_l_N10_nlin2MNI152ASYM2009C_16.1_publicP_e440a4a4eee9203abcc4aac8f6381216.nii.gz"
"Area-p24c"	16.1	"Area-p24c_r_N10_nlin2MNI152ASYM2009C_16.1_publicP_795c9d7ed029f33449d4d41098cd51dc.nii.gz"
"Area-p32"	16.1	"Area-p32_l_N10_nlin2MNI152ASYM2009C_16.1_publicP_bce14f798627873c1f117df0141f35ca.nii.gz"
"Area-p32"	16.1	"Area-p32_r_N10_nlin2MNI152ASYM2009C_16.1_publicP_0431a46ee288499cc60db2685889b56d.nii.gz"
"Area-s24"	16.1	"Area-s24_l_N10_nlin2MNI152ASYM2009C_16.1_publicP_6194d2467924e498b62b367a118db468.nii.gz"
"Area-s24"	16.1	"Area-s24_r_N10_nlin2MNI152ASYM2009C_16.1_publicP_cc3351d4b652a47f4e23c9fe980f55ed.nii.gz"
"Area-s32"	16.1	"Area-s32_l_N10_nlin2MNI152ASYM2009C_16.1_publicP_c123300e746ae0b2a68198747b7c8b39.nii.gz"
"Area-s32"	16.1	"Area-s32_r_N10_nlin2MNI152ASYM2009C_16.1_publicP_670b2d5859f33ce2264adf0864930347.nii.gz"
"Area-Fp1"	2.4	"Area-Fp1_l_N10_nlin2MNI152ASYM2009C_2.4_publicP_21db93ae699b350d3f7fe2e9637a09d3.nii.gz"
"Area-Fp1"	2.4	"Area-Fp1_r_N10_nlin2MNI152ASYM2009C_2.4_publicP_640c94e1dcb94d8921a6e6236ea90243.nii.gz"
"Area-Fp2"	2.4	"Area-Fp2_l_N10_nlin2MNI152ASYM2009C_2.4_publicP_b8d8440ba6ff4ee72e8184b4a71d44d2.nii.gz"
"Area-Fp2"	2.4	"Area-Fp2_r_N10_nlin2MNI152ASYM2009C_2.4_publicP_78d77928de1e288d9fc00d23eee7de12.nii.gz"
"CA"	11.1	"CA_l_N10_nlin2MNI152ASYM2009C_11.1_publicP_fd49776deee300e6dd94db513592d716.nii.gz"
"CA"	11.1	"CA_r_N10_nlin2MNI152ASYM2009C_11.1_publicP_15fe605957c7968f858481c082673d8f.nii.gz"
"DG"	11.1	"DG_l_N10_nlin2MNI152ASYM2009C_11.1_publicP_f56d6af9b18d378060c91acd2189f5b2.nii.gz"
"DG"	11.1	"DG_r_N10_nlin2MNI152ASYM2009C_11.1_publicP_6fe4e1ff07604e82573426ff9d507757.nii.gz"
"Entorhinal-Cortex"	11.1	"Entorhinal-Cortex_l_N10_nlin2MNI152ASYM2009C_11.1_publicP_67c7cc903d9847c1e0ba7b2bd042de48.nii.gz"
"Entorhinal-Cortex"	11.1	"Entorhinal-Cortex_r_N10_nlin2MNI152ASYM2009C_11.1_publicP_239306c24449da501573917ad567a9de.nii.gz"
"HATA"	11.1	"HATA_l_N10_nlin2MNI152ASYM2009C_11.1_publicP_cd1178d271dfb2a4fe7c26cd21c76cab.nii.gz"
"HATA"	11.1	"HATA_r_N10_nlin2MNI152ASYM2009C_11.1_publicP_b68796684358ad9cec6b7ca719575e48.nii.gz"
"Subiculum"	11.1	"Subiculum_l_N10_nlin2MNI152ASYM2009C_11.1_publicP_febae932d584834b5365ece4a3a311cc.nii.gz"
"Subiculum"	11.1	"Subiculum_r_N10_nlin2MNI152ASYM2009C_11.1_publicP_e6c2e76f622d20d65d1021f6d1a89eef.nii.gz"
"Area-PF"	9.4	"Area-PF_l_N10_nlin2MNI152ASYM2009C_9.4_publicP_a10eb8515cb0f7b434137ce6f04eb00b.nii.gz"
"Area-PF"	9.4	"Area-PF_r_N10_nlin2MNI152ASYM2009C_9.4_publicP_d8f88811f56dbc28045070aaf370d0ed.nii.gz"
"Area-PFcm"	9.4	"Area-PFcm_l_N10_nlin2MNI152ASYM2009C_9.4_publicP_e4c354cb14a007545e1c43189fb196e2.nii.gz"
