labelName,labelNo,template,obsA,obsB,dice,hausdorff,nA,nB
BN_STR_Pu,201,0,0,0,1.0,0.0,16147,16147
BN_STR_Pu,201,0,0,1,0.943710075264,2.09999996424,16147,15475
BN_STR_Pu,201,0,0,2,0.889229130608,4.99899981485,16147,13897
BN_STR_Pu,201,0,1,0,0.943710075264,2.96984843041,15475,16147
BN_STR_Pu,201,0,1,1,1.0,0.0,15475,15475
BN_STR_Pu,201,0,1,2,0.891597439739,6.4915328363,15475,13897
BN_STR_Pu,201,0,2,0,0.889229130608,4.94974738401,13897,16147
BN_STR_Pu,201,0,2,1,0.891597439739,5.23832025228,13897,15475
BN_STR_Pu,201,0,2,2,1.0,0.0,13897,13897
BN_STR_Pu,201,1,0,0,1.0,0.0,16436,16436
BN_STR_Pu,201,1,0,1,0.930635110468,2.61916012614,16436,15338
BN_STR_Pu,201,1,0,2,0.899536825625,3.4999999404,16436,14222
BN_STR_Pu,201,1,1,0,0.930635110468,2.96984843041,15338,16436
BN_STR_Pu,201,1,1,1,1.0,0.0,15338,15338
BN_STR_Pu,201,1,1,2,0.905886332882,5.81463660502,15338,14222
BN_STR_Pu,201,1,2,0,0.899536825625,4.0211937841,14222,16436
BN_STR_Pu,201,1,2,1,0.905886332882,4.19999992847,14222,15338
BN_STR_Pu,201,1,2,2,1.0,0.0,14222,14222
BN_STR_Pu,201,2,0,0,1.0,0.0,16235,16235
BN_STR_Pu,201,2,0,1,0.935319905966,2.52388584984,16235,15243
BN_STR_Pu,201,2,0,2,0.901259888661,3.7696153008,16235,14482
BN_STR_Pu,201,2,1,0,0.935319905966,5.93969686081,15243,16235
BN_STR_Pu,201,2,1,1,1.0,0.0,15243,15243
BN_STR_Pu,201,2,1,2,0.912026913373,4.08166625688,15243,14482
BN_STR_Pu,201,2,2,0,0.901259888661,3.83405783724,14482,16235
BN_STR_Pu,201,2,2,1,0.912026913373,3.95979790721,14482,15243
BN_STR_Pu,201,2,2,2,1.0,0.0,14482,14482
BN_STR_Pu,201,3,0,0,1.0,0.0,16086,16086
BN_STR_Pu,201,3,0,1,0.934592514865,2.96984843041,16086,15363
BN_STR_Pu,201,3,0,2,0.892366208461,3.20780293184,16086,13886
BN_STR_Pu,201,3,1,0,0.934592514865,3.56931359873,15363,16086
BN_STR_Pu,201,3,1,1,1.0,0.0,15363,15363
