labelName,labelNo,observer,tmpA,tmpB,dice,hausdorff,nA,nB
BN_STR_Pu,201,0,0,0,1.0,0.0,16147,16147
BN_STR_Pu,201,0,0,1,0.952214344904,2.88617388878,16147,16436
BN_STR_Pu,201,0,0,2,0.946389969736,4.48218688987,16147,16235
BN_STR_Pu,201,0,0,3,0.951509322744,3.56931359873,16147,16086
BN_STR_Pu,201,0,0,4,0.953792933037,2.88617388878,16147,16229
BN_STR_Pu,201,0,0,5,0.951509381814,2.96984843041,16147,16416
BN_STR_Pu,201,0,0,6,0.951387198832,1.56524755759,16147,16725
BN_STR_Pu,201,0,0,7,0.956618602636,2.61916012614,16147,16171
BN_STR_Pu,201,0,1,0,0.952214344904,2.32163731371,16436,16147
BN_STR_Pu,201,0,1,1,1.0,0.0,16436,16436
BN_STR_Pu,201,0,1,2,0.94358911573,3.4999999404,16436,16235
BN_STR_Pu,201,0,1,3,0.95313941332,3.4999999404,16436,16086
BN_STR_Pu,201,0,1,4,0.958579519363,2.79999995232,16436,16229
BN_STR_Pu,201,0,1,5,0.958358699623,1.71464279075,16436,16416
BN_STR_Pu,201,0,1,6,0.949971351889,2.32163731371,16436,16725
BN_STR_Pu,201,0,1,7,0.954150949183,2.32163731371,16436,16171
BN_STR_Pu,201,0,2,0,0.946389969736,1.9798989536,16235,16147
BN_STR_Pu,201,0,2,1,0.94358911573,2.96984843041,16235,16436
BN_STR_Pu,201,0,2,2,1.0,0.0,16235,16235
BN_STR_Pu,201,0,2,3,0.946443488753,2.09999996424,16235,16086
BN_STR_Pu,201,0,2,4,0.947572695909,2.4248710893,16235,16229
BN_STR_Pu,201,0,2,5,0.944534623748,2.52388584984,16235,16416
BN_STR_Pu,201,0,2,6,0.942839805825,1.9798989536,16235,16725
BN_STR_Pu,201,0,2,7,0.952724804049,2.32163731371,16235,16171
BN_STR_Pu,201,0,3,0,0.951509322744,2.61916012614,16086,16147
BN_STR_Pu,201,0,3,1,0.95313941332,2.52388584984,16086,16436
BN_STR_Pu,201,0,3,2,0.946443488753,3.95979790721,16086,16235
BN_STR_Pu,201,0,3,3,1.0,0.0,16086,16086
BN_STR_Pu,201,0,3,4,0.954665016246,2.61916012614,16086,16229
BN_STR_Pu,201,0,3,5,0.954402805981,2.96984843041,16086,16416
BN_STR_Pu,201,0,3,6,0.950047240255,2.88617388878,16086,16725
BN_STR_Pu,201,0,3,7,0.95687757696,2.61916012614,16086,16171
BN_STR_Pu,201,0,4,0,0.953792933037,2.88617388878,16229,16147
BN_STR_Pu,201,0,4,1,0.958579519363,2.09999996424,16229,16436
BN_STR_Pu,201,0,4,2,0.947572695909,3.95979790721,16229,16235
BN_STR_Pu,201,0,4,3,0.954665016246,1.39999997616,16229,16086
BN_STR_Pu,201,0,4,4,1.0,0.0,16229,16229
BN_STR_Pu,201,0,4,5,0.955552151938,2.4248710893,16229,16416
BN_STR_Pu,201,0,4,6,0.950415731019,1.9798989536,16229,16725
BN_STR_Pu,201,0,4,7,0.954567901235,2.32163731371,16229,16171
BN_STR_Pu,201,0,5,0,0.951509381814,2.61916012614,16416,16147
BN_STR_Pu,201,0,5,1,0.958358699623,2.21359432442,16416,16436
BN_STR_Pu,201,0,5,2,0.944534623748,4.48218688987,16416,16235
BN_STR_Pu,201,0,5,3,0.954402805981,4.94974738401,16416,16086
BN_STR_Pu,201,0,5,4,0.955552151938,4.2579336987,16416,16229
BN_STR_Pu,201,0,5,5,1.0,0.0,16416,16416
BN_STR_Pu,201,0,5,6,0.948794544522,2.88617388878,16416,16725
BN_STR_Pu,201,0,5,7,0.950747230491,3.7696153008,16416,16171
BN_STR_Pu,201,0,6,0,0.951387198832,2.96984843041,16725,16147
BN_STR_Pu,201,0,6,1,0.949971351889,3.13049511519,16725,16436
BN_STR_Pu,201,0,6,2,0.942839805825,3.95979790721,16725,16235
