Label
Primary visual cortex
Medial superior temporal area
sixth visual area
second visual area
third visual area
fourth visual area
eighth visual area
primary motor cortex
primary sensory cortex
frontal eye fields
premotor eye field
area 55b
area V3A
RetroSplenial Complex
Parieto-Occipital Sulcus Area 2
Seventh Visual Area
IntraParietal Sulcus Area 1
Fusiform Face Complex
Area V3B
Area Lateral Occipital 1
Area Lateral Occipital 2
Posterior InferoTemporal
Middle Temporal Area
Primary Auditory Cortex
PeriSylvian Language Area
Superior Frontal Language Area
PreCuneus Visual Area
Superior Temporal Visual Area
Medial Area 7P
Area 7m
Parieto-Occipital Sulcus Area 1
Area 23d
Area ventral 23 a+b
Area dorsal 23 a+
Area 31p ventral
Area 5m
Area 5m ventral
Area 23c
Area 5L
Dorsal Area 24d
Ventral Area 24d
Lateral Area 7A
Supplementary and Cingulate Eye Field
Area 6m anterior
Medial Area 7A
Lateral Area 7P
Area 7PC
Area Lateral IntraParietal ventral
Ventral IntraParietal Complex
Medial IntraParietal Area
Area 1
Area 2
Area 3a
Dorsal area 6
Area 6mp
Ventral Area 6
Area Posterior 24 prime
Area 33 prime
Anterior 24 prime
Area p32 prime
Area a24
Area dorsal 32
Area 8BM
Area p32
Area 10r
Area 47m
Area 8Av
Area 8Ad
Area 9 Middle
Area 88 Lateral
Area 9 Posterior
Area 10d
Area 8C
Area 44
Area 45
Area 47 lateral
Area anterior 47r
Rostral Area 6
Area IF Ja
Area IF Jp
Area IF Sp
Area IFSa
Area posterior 9-46v
Area 46
Area anterior 9-46v
Area 9-46d
Area 9 anterior
Area 10v
Area anterior 10p
Polar 10p
Area 11l
Area 13l
Orbital Frontal Complex
Area 47s
Area Lateral IntraParietal dorsal
Area 6 anterior
Inferior 6-8 Transitional Area
Superior 6-8 Transitional Area
Area 43
Area OP4/PV
Area OP1/SII
Area OP2-3/VS
Area 52
RetroInsular Cortex
Area Pfcm
Posterior Insular Area 2
Area TA2
Frontal Opercular Area 4
Middle Insular Area
Pirform Cortex
Anterior Ventral Insular Area
Anterior Agranular Insular Complex
Frontal Opercular Area 1
Frontal Opercular Area 3
Frontal Opercular Area 2
Area PFt
Anterior IntraParietal Area
Entorhinal Cortex
PreSubiculum
Hippocampus
Prostriate Area
Perirhinal Ectorhinal Cortex
Area STGa
ParaBelt Complex
Auditory 5 Complex
ParaHippocampal Area 1
ParaHippocampal Area 3
Area STSd anterior
Area STSd posterior
Area STSv posterior
Area TG dorsal
Area TE1 anterior
Area TE1 posterior
Area TE2 anterior
Area TF
Area TE2 posterior
Area PHT
Area PH
Area TemporoParietoOccipital Junction 1
Area TemporoParietoOccipital Junction 2
Area TemporoParietoOccipital Junction 3
Dorsal Transitional Visual Area
Area Pgp
Area IntraParietal 2
Area IntraParietal 1
Area IntraParietal 0
Area PF Opercular
Area PF Complex
Area PFm Complex
Are Pgi
Area Pgs
Area V6A
VentroMedial Visual Area 1
VentroMedial Visual Area 3
ParaHippocampal Area 2
Area V4t
Area FST
Area v3CD
Area Lateral Occipital 3
VentroMedial Visual Area 2
Area 31pd
Area 31a
Ventral Visual Complex
Area 25
Area s32
posterior OFC Complex
Area Posterior Insular 1
Insular Granular Complex
Area Frontal Opercular 5
Area posterior 10p
Area posterior 47r
Area TG Ventral
Medial Belt Complex
Lateral Belt Complex
Auditory 4 Complex
Area STSv anterior
Area TE1 Middle
Para-Insular Area
Area anterior 32 prime
Area posterior 24

