20.0	-14.0	-20.0
30.0	-14.0	-20.0
30.0	-28.0	-10.0
24.0	-38.0	-2.0
10.0	-24.0	2.0
18.0	-22.0	4.0
8.0	-12.0	4.0
10.0	-10.0	12.0
10.0	-24.0	12.0
16.0	-20.0	12.0
22.0	12.0	-6.0
26.0	6.0	2.0
30.0	-12.0	0.0
28.0	-2.0	6.0
10.0	12.0	4.0
16.0	18.0	8.0
14.0	6.0	16.0
16.0	-2.0	20.0
28.0	-2.0	-22.0
22.0	-6.0	-16.0
16.0	-30.0	2.0
12.0	10.0	-6.0
14.0	18.0	-2.0
24.0	-8.0	-2.0
18.0	0.0	-2.0
-18.0	-14.0	-20.0
-28.0	-14.0	-20.0
-28.0	-28.0	-10.0
-22.0	-38.0	-2.0
-8.0	-24.0	2.0
-16.0	-22.0	4.0
-6.0	-12.0	4.0
-8.0	-10.0	12.0
-8.0	-24.0	12.0
-14.0	-20.0	12.0
-20.0	12.0	-6.0
-24.0	6.0	2.0
-28.0	-12.0	0.0
-26.0	-2.0	6.0
-8.0	12.0	4.0
-14.0	18.0	8.0
-12.0	6.0	16.0
-14.0	-2.0	20.0
-26.0	-2.0	-22.0
-20.0	-6.0	-16.0
-14.0	-30.0	2.0
-10.0	10.0	-6.0
-12.0	18.0	-2.0
-22.0	-8.0	-2.0
-16.0	0.0	-2.0
