areaname;pmapversion;colin27_l;colin27_r;icbm152asym2009c_l;icbm152asym2009c_r;JulichBrain157Atlas;JulichBrain175Atlas;fsaverage
Area-IFJ2;3.2;Area-IFJ2_pmap_l_N10_nlin2Stdcolin27_3.2_public_c8825bb8a4a53176aad0fd38a02dc36f.nii.gz;Area-IFJ2_pmap_r_N10_nlin2Stdcolin27_3.2_public_0ec3afbe78f92b1fce1e28302665f8f9.nii.gz;Area-IFJ2_pmap_l_N10_nlin2ICBM152asym2009c_3.2_public_f627b87c781a55776a28201a55d4854c.nii.gz;Area-IFJ2_pmap_r_N10_nlin2ICBM152asym2009c_3.2_public_9616dac972c0e8cdfbdf870a0a72c30a.nii.gz;1;1;1
Area-IFS1;3.2;Area-IFS1_pmap_l_N10_nlin2Stdcolin27_3.2_public_7eb8eee6fe3db1883d9ec97616555839.nii.gz;Area-IFS1_pmap_r_N10_nlin2Stdcolin27_3.2_public_38fffa2f0f2b17bb2c11f445f253a520.nii.gz;Area-IFS1_pmap_l_N10_nlin2ICBM152asym2009c_3.2_public_869b680d774aa01180827c5e8264dc2c.nii.gz;Area-IFS1_pmap_r_N10_nlin2ICBM152asym2009c_3.2_public_2f6abe7352808ea52befefb430376b03.nii.gz;1;1;1
Area-IFS2;3.2;Area-IFS2_pmap_l_N10_nlin2Stdcolin27_3.2_public_f2ea945eef46641ab6671229880c8261.nii.gz;Area-IFS2_pmap_r_N10_nlin2Stdcolin27_3.2_public_275b82921d9b3d967f19610615479b0d.nii.gz;Area-IFS2_pmap_l_N10_nlin2ICBM152asym2009c_3.2_public_dcf58b1946576ddae3b671ed1ad46434.nii.gz;Area-IFS2_pmap_r_N10_nlin2ICBM152asym2009c_3.2_public_91ec9e205f059a0259fcc74cc274dee4.nii.gz;1;1;1
Area-IFS3;3.2;Area-IFS3_pmap_l_N10_nlin2Stdcolin27_3.2_public_8889a54909ef8ba88df0817825066613.nii.gz;Area-IFS3_pmap_r_N10_nlin2Stdcolin27_3.2_public_703a1fcfb74537bb54b8ab89de0be335.nii.gz;Area-IFS3_pmap_l_N10_nlin2ICBM152asym2009c_3.2_public_67fc4b9b14f60ad3ea19b20e3771706a.nii.gz;Area-IFS3_pmap_r_N10_nlin2ICBM152asym2009c_3.2_public_0f34f1a1e4259dca6044cf19a9fc07a2.nii.gz;1;1;1
Area-IFS4;3.2;Area-IFS4_pmap_l_N10_nlin2Stdcolin27_3.2_public_10970f419f4a19193ba88532fc0fc7dc.nii.gz;Area-IFS4_pmap_r_N10_nlin2Stdcolin27_3.2_public_7b8649a9938572f85d719094f6df5762.nii.gz;Area-IFS4_pmap_l_N10_nlin2ICBM152asym2009c_3.2_public_0556e44dea7869f2abb0594e83221d8a.nii.gz;Area-IFS4_pmap_r_N10_nlin2ICBM152asym2009c_3.2_public_3b523c683c3431fe5b81de179de6cab3.nii.gz;1;1;1
Area-Ia1;5.1;Area-Ia1_pmap_l_N10_nlin2Stdcolin27_5.1_public_9c051941676d9058aec281be42c3dd7c.nii.gz;Area-Ia1_pmap_r_N10_nlin2Stdcolin27_5.1_public_94743dca18ee270b0135303068e9de94.nii.gz;Area-Ia1_pmap_l_N10_nlin2ICBM152asym2009c_5.1_public_1924205ceb5326d10bcea91fd60e5355.nii.gz;Area-Ia1_pmap_r_N10_nlin2ICBM152asym2009c_5.1_public_3d093fb86d9e688f6eb57b85a795caa3.nii.gz;1;1;1
Area-Ia2;4.0;Area-Ia2_pmap_l_N10_nlin2Stdcolin27_4.0_public_4149a608caf7870dc1bf8a8362d0c746.nii.gz;Area-Ia2_pmap_r_N10_nlin2Stdcolin27_4.0_public_542992ec41160147868bb3b61060df42.nii.gz;Area-Ia2_pmap_l_N10_nlin2ICBM152asym2009c_4.0_public_f1be4a6fc29171d51924fb4ef7111528.nii.gz;Area-Ia2_pmap_r_N10_nlin2ICBM152asym2009c_4.0_public_e26d97898f76f04c9376c4583f3b982b.nii.gz;1;1;1
Area-Ia3;4.0;Area-Ia3_pmap_l_N10_nlin2Stdcolin27_4.0_public_5bb75d65da28512a99877864730f0415.nii.gz;Area-Ia3_pmap_r_N10_nlin2Stdcolin27_4.0_public_a18943163e17e47dccc464db6a33e71c.nii.gz;Area-Ia3_pmap_l_N10_nlin2ICBM152asym2009c_4.0_public_4499d4d9a1d003bf879252122edbdb9d.nii.gz;Area-Ia3_pmap_r_N10_nlin2ICBM152asym2009c_4.0_public_0dd85f2e739ba241a24e3668911b96ed.nii.gz;1;1;1
Area-Id10;4.0;Area-Id10_pmap_l_N10_nlin2Stdcolin27_4.0_public_504faeed34b26daac72bf8899c308161.nii.gz;Area-Id10_pmap_r_N10_nlin2Stdcolin27_4.0_public_15b447abd44f24d9e97d5a991ee33ae2.nii.gz;Area-Id10_pmap_l_N10_nlin2ICBM152asym2009c_4.0_public_ab7830922ef6d9ed8aeae7a2d6b95cfa.nii.gz;Area-Id10_pmap_r_N10_nlin2ICBM152asym2009c_4.0_public_b66058e67c3f529ea62810caa51f0a4d.nii.gz;1;1;1
Area-Id1;14.2;Area-Id1_pmap_l_N10_nlin2Stdcolin27_14.2_public_27dbfa6f07ea240725a81762f6c6d7c0.nii.gz;Area-Id1_pmap_r_N10_nlin2Stdcolin27_14.2_public_c9bc1717e3f246e7e8953591e7374a4e.nii.gz;Area-Id1_pmap_l_N10_nlin2ICBM152asym2009c_14.2_public_ea28b377a2ae46c32c3a8869f36b223e.nii.gz;Area-Id1_pmap_r_N10_nlin2ICBM152asym2009c_14.2_public_1fcf74ffdf974991c39e1cae8ad30974.nii.gz;1;1;1
Area-Id2;9.1;Area-Id2_pmap_l_N10_nlin2Stdcolin27_9.1_public_fb7a82f8093abb94ac8c1e3ca28e324d.nii.gz;Area-Id2_pmap_r_N10_nlin2Stdcolin27_9.1_public_0a62d13226b0c3565fb79e18c35d63aa.nii.gz;Area-Id2_pmap_l_N10_nlin2ICBM152asym2009c_9.1_public_194119b6f0562b1ca487e49e6a05cd2c.nii.gz;Area-Id2_pmap_r_N10_nlin2ICBM152asym2009c_9.1_public_30dc978aa8f534f79ec09454b2b511d7.nii.gz;1;1;1
Area-Id3;9.1;Area-Id3_pmap_l_N10_nlin2Stdcolin27_9.1_public_b7e92c8d7d63f1f09066360163fb6dc3.nii.gz;Area-Id3_pmap_r_N10_nlin2Stdcolin27_9.1_public_dcb41eb09522a7cd2f507e2f9321381e.nii.gz;Area-Id3_pmap_l_N10_nlin2ICBM152asym2009c_9.1_public_8f84c6744129a1b083c4aab9d560bc86.nii.gz;Area-Id3_pmap_r_N10_nlin2ICBM152asym2009c_9.1_public_5589f740688efb1851ddb7b02f9f86b8.nii.gz;1;1;1
Area-Id4;5.1;Area-Id4_pmap_l_N10_nlin2Stdcolin27_5.1_public_10e447bd9ad1d28c350674365aefbcef.nii.gz;Area-Id4_pmap_r_N10_nlin2Stdcolin27_5.1_public_09afbdc3dc7cb2b6694f5c5413c44fed.nii.gz;Area-Id4_pmap_l_N10_nlin2ICBM152asym2009c_5.1_public_11d1e13f53249eb2f566c069001002c8.nii.gz;Area-Id4_pmap_r_N10_nlin2ICBM152asym2009c_5.1_public_d281df774f7cc677139d0f346bb014be.nii.gz;1;1;1
Area-Id5;5.1;Area-Id5_pmap_l_N10_nlin2Stdcolin27_5.1_public_a279cded8fc6017738199b340400f61d.nii.gz;Area-Id5_pmap_r_N10_nlin2Stdcolin27_5.1_public_787f3e3d2af8489b14e136a622ede88f.nii.gz;Area-Id5_pmap_l_N10_nlin2ICBM152asym2009c_5.1_public_7ff9df5862b571a6928c0d34af435ec7.nii.gz;Area-Id5_pmap_r_N10_nlin2ICBM152asym2009c_5.1_public_9a52a6b91b1b21283cbb9da64a39ac0b.nii.gz;1;1;1
Area-Id6;5.1;Area-Id6_pmap_l_N10_nlin2Stdcolin27_5.1_public_c4269403bb6aff21e01a8fbb31769702.nii.gz;Area-Id6_pmap_r_N10_nlin2Stdcolin27_5.1_public_d45e0d65a76a76934d5643ea00c82c03.nii.gz;Area-Id6_pmap_l_N10_nlin2ICBM152asym2009c_5.1_public_061ac7e9320dfb8bb7a78f1c42716065.nii.gz;Area-Id6_pmap_r_N10_nlin2ICBM152asym2009c_5.1_public_80e4fbc1c5d4622d75644c754d872ec9.nii.gz;1;1;1
