areaname;pmapversion;colin27_l;colin27_r;icbm152asym2009c_l;icbm152asym2009c_r;JulichBrain157Atlas;JulichBrain175Atlas;fsaverage
Area-6ma;12.1;Area-6ma_pmap_l_N10_nlin2Stdcolin27_12.1_public_ef7a1cc5f484a160e1cf0f9095468f14.nii.gz;Area-6ma_pmap_r_N10_nlin2Stdcolin27_12.1_public_fdd1748594ed36a32679921c0ff24b12.nii.gz;Area-6ma_pmap_l_N10_nlin2ICBM152asym2009c_12.1_public_c443921502ecd4ecbd0e223184b1e021.nii.gz;Area-6ma_pmap_r_N10_nlin2ICBM152asym2009c_12.1_public_9f7a070f41cd2554524c15e374cd2b5e.nii.gz;1;1;1
Area-6mp;12.1;Area-6mp_pmap_l_N10_nlin2Stdcolin27_12.1_public_c4a202bb3137c29e4c51e26f6232c7e0.nii.gz;Area-6mp_pmap_r_N10_nlin2Stdcolin27_12.1_public_00f507cf4b38c3df6775be5f64057e03.nii.gz;Area-6mp_pmap_l_N10_nlin2ICBM152asym2009c_12.1_public_7c7bb5ab274f648fa0ddde6e4da5788a.nii.gz;Area-6mp_pmap_r_N10_nlin2ICBM152asym2009c_12.1_public_590e24a0e8bd9ef448a2dd519c0fad2f.nii.gz;1;1;1
Area-7A;9.2;Area-7A_pmap_l_N10_nlin2Stdcolin27_9.2_public_3d944564765a86bb498fe754c6af978b.nii.gz;Area-7A_pmap_r_N10_nlin2Stdcolin27_9.2_public_d93c43966cc6829c21d82a01f9437bac.nii.gz;Area-7A_pmap_l_N10_nlin2ICBM152asym2009c_9.2_public_833feb968d6b6364021cc60e170c197e.nii.gz;Area-7A_pmap_r_N10_nlin2ICBM152asym2009c_9.2_public_cc6cccd72ff5bbf0ab22505594986199.nii.gz;1;1;1
Area-7M;9.2;Area-7M_pmap_l_N10_nlin2Stdcolin27_9.2_public_0b0847798a728239d2baf94abde893fe.nii.gz;Area-7M_pmap_r_N10_nlin2Stdcolin27_9.2_public_d612d3f68be04af61f68f4f9ffcfe23a.nii.gz;Area-7M_pmap_l_N10_nlin2ICBM152asym2009c_9.2_public_2155886116c32e2a76121048600cec2e.nii.gz;Area-7M_pmap_r_N10_nlin2ICBM152asym2009c_9.2_public_c186daddd76567c5703b7c54a19c4e31.nii.gz;1;1;1
Area-7P;9.2;Area-7P_pmap_l_N10_nlin2Stdcolin27_9.2_public_01fd1b2516a74b29e7bf43dc35040fd7.nii.gz;Area-7P_pmap_r_N10_nlin2Stdcolin27_9.2_public_91a3305bf392f834d0c536fe1fabab2f.nii.gz;Area-7P_pmap_l_N10_nlin2ICBM152asym2009c_9.2_public_1dd3422cd3f44cca5d6b8b4537924685.nii.gz;Area-7P_pmap_r_N10_nlin2ICBM152asym2009c_9.2_public_43732cc42ff3eef66120f97622e33370.nii.gz;1;1;1
Area-7PC;9.2;Area-7PC_pmap_l_N10_nlin2Stdcolin27_9.2_public_f140a6a205e5f977b667980303426910.nii.gz;Area-7PC_pmap_r_N10_nlin2Stdcolin27_9.2_public_438ccbc483fca0755306d173346b03f1.nii.gz;Area-7PC_pmap_l_N10_nlin2ICBM152asym2009c_9.2_public_64cfbb0152a01d407c9039d2f7a9dd98.nii.gz;Area-7PC_pmap_r_N10_nlin2ICBM152asym2009c_9.2_public_6c76be23f0fdaf3576f4e1ffe5d8318b.nii.gz;1;1;1
Area-8d1;4.2;Area-8d1_pmap_l_N10_nlin2Stdcolin27_4.2_public_f0207093d81f6b74393124fc40cd66fb.nii.gz;Area-8d1_pmap_r_N10_nlin2Stdcolin27_4.2_public_b8971b0a45e2f131fdb353e61d6f6e61.nii.gz;Area-8d1_pmap_l_N10_nlin2ICBM152asym2009c_4.2_public_5c9e7919baa6521484e8543da5959587.nii.gz;Area-8d1_pmap_r_N10_nlin2ICBM152asym2009c_4.2_public_525f87d32ad5be97017a05d59a8baf08.nii.gz;1;1;1
Area-8d2;4.2;Area-8d2_pmap_l_N10_nlin2Stdcolin27_4.2_public_4b3fa6e640b6d507db3ee6040148511a.nii.gz;Area-8d2_pmap_r_N10_nlin2Stdcolin27_4.2_public_2b82698db6ba3087530a21585a1a4944.nii.gz;Area-8d2_pmap_l_N10_nlin2ICBM152asym2009c_4.2_public_fb2a1756344027048e40a2f698cbd4b0.nii.gz;Area-8d2_pmap_r_N10_nlin2ICBM152asym2009c_4.2_public_979352e112d0123dc90aa40ced8e95aa.nii.gz;1;1;1
Area-8v1;4.2;Area-8v1_pmap_l_N10_nlin2Stdcolin27_4.2_public_5f250e63a488b38dc217f1141ad8e62f.nii.gz;Area-8v1_pmap_r_N10_nlin2Stdcolin27_4.2_public_b5bb03803bfb661fc5dad93e4d3670ab.nii.gz;Area-8v1_pmap_l_N10_nlin2ICBM152asym2009c_4.2_public_9c4a4a060334c56b673cda6d051ca7ed.nii.gz;Area-8v1_pmap_r_N10_nlin2ICBM152asym2009c_4.2_public_471bf28da88d0537de54711fa5f05612.nii.gz;1;1;0
Area-8v2;4.2;Area-8v2_pmap_l_N10_nlin2Stdcolin27_4.2_public_06542717e6f5934d5ed316bb2e2267a9.nii.gz;Area-8v2_pmap_r_N10_nlin2Stdcolin27_4.2_public_3f49192ae703505e469d2a47f2ade792.nii.gz;Area-8v2_pmap_l_N10_nlin2ICBM152asym2009c_4.2_public_a3dcdd788f455befabc7482ce375a779.nii.gz;Area-8v2_pmap_r_N10_nlin2ICBM152asym2009c_4.2_public_97d83751f3aa6fa6a29ec034cbd1cd75.nii.gz;1;1;1
Area-CoS1;7.2;Area-CoS1_pmap_l_N10_nlin2Stdcolin27_7.2_public_fe6b546a36ca6de361d505868028bd7e.nii.gz;Area-CoS1_pmap_r_N10_nlin2Stdcolin27_7.2_public_ef1f080be58d0db9c9336843b127ac7b.nii.gz;Area-CoS1_pmap_l_N10_nlin2ICBM152asym2009c_7.2_public_449fceec502f9045e111866a9196922e.nii.gz;Area-CoS1_pmap_r_N10_nlin2ICBM152asym2009c_7.2_public_d028a916c83bb7e73ecdc1932ecb8386.nii.gz;1;1;1
Area-FG1;3.2;Area-FG1_pmap_l_N10_nlin2Stdcolin27_3.2_public_51d01476a52a05da9e7120c12ed23fe8.nii.gz;Area-FG1_pmap_r_N10_nlin2Stdcolin27_3.2_public_0496a799320d5742f9d13861dd52f295.nii.gz;Area-FG1_pmap_l_N10_nlin2ICBM152asym2009c_3.2_public_7fd1bf99f34f5218414fbcbc606907e1.nii.gz;Area-FG1_pmap_r_N10_nlin2ICBM152asym2009c_3.2_public_d33905b3f0fe5f1d479dff97c20e2663.nii.gz;1;1;0
Area-FG2;3.2;Area-FG2_pmap_l_N10_nlin2Stdcolin27_3.2_public_5177b4237dbc54aae915c50bdc2a2f4e.nii.gz;Area-FG2_pmap_r_N10_nlin2Stdcolin27_3.2_public_cbee4d0793539c4a5036b8874e84d14c.nii.gz;Area-FG2_pmap_l_N10_nlin2ICBM152asym2009c_3.2_public_97168c81507f14e82fc4c2aeb1507abc.nii.gz;Area-FG2_pmap_r_N10_nlin2ICBM152asym2009c_3.2_public_746960d6d546532aca92f09d3fc57aa8.nii.gz;1;1;0
Area-FG3;7.2;Area-FG3_pmap_l_N10_nlin2Stdcolin27_7.2_public_eb54156b8c89b5027860a03727de868b.nii.gz;Area-FG3_pmap_r_N10_nlin2Stdcolin27_7.2_public_fdcd219c22295f776fd94cfb74d0d693.nii.gz;Area-FG3_pmap_l_N10_nlin2ICBM152asym2009c_7.2_public_178e98d4ef33d21b8566b809f46eaf62.nii.gz;Area-FG3_pmap_r_N10_nlin2ICBM152asym2009c_7.2_public_27f7c0c3268b72e9cfe2c583925f4033.nii.gz;1;1;1
Area-FG4;7.2;Area-FG4_pmap_l_N10_nlin2Stdcolin27_7.2_public_0e159409451b7730155dcaac2e3e2635.nii.gz;Area-FG4_pmap_r_N10_nlin2Stdcolin27_7.2_public_0c59996946bd9183e6294ed9a3db3682.nii.gz;Area-FG4_pmap_l_N10_nlin2ICBM152asym2009c_7.2_public_637e536abeb5daa57d21d18f2fad8494.nii.gz;Area-FG4_pmap_r_N10_nlin2ICBM152asym2009c_7.2_public_337453a3651673d79d4806a6d26d8569.nii.gz;1;1;1
